		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 	Soil 	Wind	Wind	ISS 	Arc.
01/01/22	1:40	12.7	12.7	12.7	95	11.9	5.0	SSE	0.83	14.0	SSW	12.2	12.8	12.3	10.7	1019.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	235	1	100.0	10
01/01/22	1:50	12.7	12.7	12.7	95	11.9	5.0	SSE	0.83	11.0	S	12.2	12.8	12.3	10.7	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	234	1	100.0	10
01/01/22	2:00	12.6	12.7	12.6	95	11.8	4.0	SSE	0.67	9.0	SSW	12.4	12.7	12.5	10.9	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.9	49	11.7	22.7	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	2:10	12.6	12.7	12.6	95	11.8	7.0	SSE	1.17	13.0	S	11.6	12.7	11.7	10.1	1018.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.9	49	11.6	22.6	9.05	 .0739	0.00	12.2	12.2	231	1	100.0	10
01/01/22	2:20	12.7	12.7	12.6	95	11.9	8.0	S	1.33	13.0	S	11.3	12.8	11.4	9.9	1018.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.9	49	11.6	22.6	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	2:30	12.7	12.7	12.7	94	11.8	6.0	S	1.00	14.0	SSW	11.9	12.8	12.1	10.5	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.9	49	11.6	22.6	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	2:40	12.7	12.8	12.7	94	11.8	6.0	S	1.00	12.0	SSW	11.9	12.8	12.1	10.5	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.8	50	11.9	22.6	9.25	 .0739	0.00	12.2	12.2	231	1	100.0	10
01/01/22	2:50	12.7	12.8	12.7	94	11.8	6.0	SSE	1.00	15.0	SSW	11.9	12.8	12.1	10.5	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.8	50	11.9	22.6	9.25	 .0739	0.00	12.2	12.2	234	1	100.0	10
01/01/22	3:00	12.7	12.8	12.7	93	11.6	6.0	SSE	1.00	16.0	SSW	11.9	12.8	12.1	10.5	1018.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.8	50	11.9	22.6	9.25	 .0739	0.00	12.2	12.2	234	1	100.0	10
01/01/22	3:10	12.7	12.7	12.7	93	11.6	6.0	SSE	1.00	12.0	S	11.9	12.8	12.0	10.4	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	22.8	50	11.9	22.6	9.25	 .0739	0.00	12.2	12.2	234	1	100.0	10
01/01/22	3:20	12.6	12.7	12.6	93	11.5	7.0	SSE	1.17	17.0	SSW	11.6	12.7	11.7	10.1	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.8	50	11.8	22.5	9.25	 .0739	0.00	12.2	12.2	232	1	100.0	10
01/01/22	3:30	12.5	12.6	12.5	93	11.4	7.0	S	1.17	14.0	S	11.4	12.6	11.6	10.0	1018.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.8	50	11.8	22.5	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	3:40	12.4	12.6	12.4	92	11.2	8.0	S	1.33	19.0	S	11.0	12.5	11.1	9.6	1018.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.8	50	11.8	22.5	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	3:50	12.4	12.4	12.4	92	11.1	8.0	S	1.33	14.0	SSW	10.9	12.4	11.0	9.5	1018.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.7	50	11.8	22.4	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	4:00	12.4	12.4	12.3	92	11.1	8.0	SSE	1.33	14.0	S	10.9	12.4	11.0	9.5	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.7	50	11.8	22.4	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	4:10	12.3	12.4	12.3	93	11.2	8.0	SSE	1.33	13.0	SSW	10.8	12.4	10.9	9.4	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.7	50	11.7	22.3	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	4:20	12.3	12.3	12.2	93	11.2	10.0	SSE	1.67	19.0	SSW	10.1	12.4	10.2	8.8	1017.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.6	50	11.7	22.3	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	4:30	12.2	12.3	12.2	92	11.0	9.0	SSE	1.50	22.0	SSW	10.3	12.3	10.4	8.9	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.6	50	11.7	22.3	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	4:40	12.2	12.2	12.2	93	11.1	10.0	SSE	1.67	16.0	SE	9.9	12.3	10.1	8.6	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	22.6	50	11.6	22.2	9.25	 .0739	0.00	11.1	11.1	229	1	100.0	10
01/01/22	4:50	12.2	12.2	12.1	93	11.1	10.0	SSE	1.67	15.0	SSW	10.0	12.3	10.1	8.7	1017.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.5	50	11.6	22.1	9.25	 .0739	0.00	11.7	11.1	232	1	100.0	10
01/01/22	5:00	12.2	12.2	12.2	93	11.1	10.0	SSE	1.67	17.0	E	10.0	12.3	10.1	8.7	1017.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.4	50	11.5	22.1	9.25	 .0739	0.03	11.7	11.7	233	1	100.0	10
01/01/22	5:10	12.3	12.3	12.2	92	11.1	10.0	SSE	1.67	16.0	SSE	10.1	12.4	10.2	8.7	1017.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.4	50	11.5	21.9	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	5:20	12.3	12.4	12.3	92	11.1	10.0	SSE	1.67	19.0	S	10.1	12.4	10.2	8.7	1017.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.4	50	11.5	21.9	9.25	 .0739	0.00	11.7	11.7	230	1	100.0	10
01/01/22	5:30	12.4	12.4	12.3	91	11.0	11.0	SSE	1.83	20.0	SSW	9.9	12.4	9.9	8.6	1016.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.3	50	11.4	21.9	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	5:40	12.4	12.4	12.3	91	11.0	11.0	SSE	1.83	20.0	S	9.9	12.4	9.9	8.6	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.3	50	11.4	21.8	9.25	 .0739	0.00	11.7	11.7	231	1	100.0	10
01/01/22	5:50	12.4	12.4	12.3	91	11.0	11.0	SSE	1.83	18.0	S	9.9	12.4	9.9	8.6	1016.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.3	50	11.4	21.8	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	6:00	12.3	12.4	12.3	90	10.7	11.0	S	1.83	23.0	SSW	9.8	12.4	9.8	8.4	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.2	50	11.3	21.7	9.25	 .0739	0.03	11.7	11.7	234	1	100.0	10
01/01/22	6:10	12.3	12.3	12.3	90	10.7	10.0	SSE	1.67	16.0	SSW	10.1	12.4	10.2	8.7	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.2	50	11.2	21.6	9.25	 .0739	0.00	11.7	11.7	231	1	100.0	10
01/01/22	6:20	12.4	12.4	12.3	90	10.8	11.0	S	1.83	20.0	SSW	9.9	12.4	9.9	8.6	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.2	50	11.2	21.6	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	6:30	12.3	12.4	12.3	90	10.7	10.0	SSE	1.67	18.0	SSW	10.1	12.4	10.2	8.7	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	22.1	50	11.2	21.6	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	6:40	12.4	12.4	12.3	90	10.8	10.0	SSE	1.67	20.0	SSW	10.2	12.5	10.3	8.8	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.2	21.6	9.25	 .0739	0.00	11.7	11.7	230	1	100.0	10
01/01/22	6:50	12.6	12.6	12.4	89	10.8	11.0	SSE	1.83	19.0	S	10.1	12.6	10.1	8.7	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	22.1	50	11.2	21.6	9.25	 .0739	0.00	12.2	11.7	229	1	100.0	10
01/01/22	7:00	12.5	12.6	12.5	89	10.7	10.0	SSE	1.67	17.0	S	10.3	12.6	10.4	8.9	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.1	21.4	9.25	 .0739	0.03	11.7	11.7	230	1	100.0	10
01/01/22	7:10	12.5	12.6	12.4	89	10.7	11.0	SSE	1.83	19.0	SSW	10.0	12.6	10.1	8.7	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.1	21.4	9.25	 .0739	0.00	12.2	11.7	230	1	100.0	10
01/01/22	7:20	12.4	12.6	12.4	89	10.7	10.0	S	1.67	15.0	S	10.2	12.5	10.3	8.8	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.1	21.4	9.25	 .0739	0.00	11.7	11.7	230	1	100.0	10
01/01/22	7:30	12.4	12.4	12.4	89	10.7	10.0	S	1.67	20.0	SSW	10.2	12.5	10.3	8.8	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.1	21.4	9.25	 .0739	0.00	11.7	11.7	230	1	100.0	10
01/01/22	7:40	12.4	12.5	12.4	89	10.6	10.0	SSE	1.67	21.0	S	10.2	12.4	10.2	8.8	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.1	50	11.1	21.4	9.25	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	7:50	12.4	12.4	12.4	89	10.7	11.0	SSE	1.83	20.0	SSW	9.9	12.5	10.0	8.6	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.0	50	11.1	21.4	9.25	 .0739	0.00	11.7	11.7	232	1	100.0	10
01/01/22	8:00	12.4	12.5	12.4	88	10.5	10.0	SSE	1.67	17.0	SSW	10.2	12.4	10.2	8.8	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	22.0	49	10.8	21.3	9.05	 .0739	0.03	11.7	11.7	231	1	100.0	10
01/01/22	8:10	12.6	12.6	12.4	88	10.6	10.0	SSE	1.67	20.0	SSW	10.4	12.6	10.4	8.9	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	21.9	49	10.7	21.3	9.05	 .0740	0.00	11.7	11.7	233	1	100.0	10
01/01/22	8:20	12.5	12.6	12.4	87	10.4	9.0	S	1.50	15.0	S	10.7	12.5	10.7	9.2	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	21.9	49	10.7	21.3	9.05	 .0739	0.00	11.7	11.7	231	1	100.0	10
01/01/22	8:30	12.4	12.5	12.3	87	10.3	8.0	SSE	1.33	18.0	SE	10.9	12.4	10.9	9.4	1015.4	0.00	0.0	3	0.04	5	0.0	0.00	0.0	0.041	0.000	21.9	49	10.7	21.3	9.05	 .0739	0.00	11.1	11.1	228	1	100.0	10
01/01/22	8:40	12.3	12.4	12.2	88	10.3	8.0	SSE	1.33	14.0	S	10.8	12.3	10.8	9.3	1015.3	0.00	0.0	8	0.11	11	0.0	0.00	0.0	0.042	0.000	21.9	49	10.7	21.3	9.05	 .0739	0.00	11.1	11.1	231	1	100.0	10
01/01/22	8:50	12.2	12.3	12.2	88	10.3	8.0	SSE	1.33	14.0	SSE	10.7	12.2	10.7	9.3	1015.4	0.00	0.0	13	0.19	14	0.0	0.00	0.0	0.042	0.000	21.9	49	10.7	21.3	9.05	 .0739	0.00	11.7	11.1	233	1	100.0	10
01/01/22	9:00	12.3	12.3	12.2	88	10.3	9.0	S	1.50	17.0	SSE	10.4	12.3	10.4	9.1	1015.9	0.00	0.0	19	0.27	23	0.0	0.00	0.0	0.042	0.000	21.9	49	10.7	21.3	9.05	 .0740	0.03	11.7	11.1	230	1	100.0	10
01/01/22	9:10	12.3	12.3	12.2	88	10.3	8.0	S	1.33	16.0	SSW	10.8	12.3	10.8	9.7	1016.0	0.00	0.0	35	0.50	42	0.0	0.00	0.0	0.042	0.000	21.9	49	10.7	21.2	9.05	 .0740	0.00	11.7	11.7	230	1	100.0	10
01/01/22	9:20	12.3	12.3	12.2	87	10.2	8.0	S	1.33	15.0	S	10.8	12.3	10.8	9.9	1015.8	0.00	0.0	55	0.79	76	0.0	0.00	0.0	0.042	0.000	21.9	49	10.7	21.3	9.05	 .0739	0.00	12.2	11.7	232	1	100.0	10
01/01/22	9:30	12.4	12.4	12.3	87	10.3	8.0	SSE	1.33	15.0	SSW	10.9	12.4	10.9	10.2	1015.5	0.00	0.0	65	0.93	74	0.0	0.00	0.0	0.041	0.000	22.0	49	10.8	21.3	9.05	 .0739	0.00	12.2	11.7	228	1	100.0	10
01/01/22	9:40	12.5	12.5	12.4	86	10.2	9.0	S	1.50	17.0	S	10.7	12.4	10.6	9.6	1015.5	0.00	0.0	38	0.54	54	0.0	0.00	0.0	0.041	0.000	22.0	49	10.8	21.3	9.05	 .0739	0.00	12.2	11.7	227	1	99.6	10
01/01/22	9:50	12.6	12.6	12.4	86	10.3	8.0	S	1.33	16.0	SSE	11.1	12.5	11.1	10.5	1015.5	0.00	0.0	83	1.19	95	0.0	0.00	0.0	0.040	0.000	22.1	49	10.8	21.4	9.05	 .0739	0.00	12.2	11.7	229	1	100.0	10
01/01/22	10:00	12.7	12.7	12.6	85	10.3	9.0	S	1.50	19.0	S	10.9	12.7	10.9	10.5	1015.5	0.00	0.0	93	1.33	102	0.0	0.00	0.0	0.039	0.000	22.2	49	10.9	21.6	9.05	 .0739	0.05	12.8	11.7	230	1	100.0	10
01/01/22	10:10	12.8	12.8	12.7	85	10.3	11.0	S	1.83	20.0	SSW	10.3	12.7	10.3	11.1	1015.6	0.00	0.0	92	1.32	105	0.0	0.00	0.0	0.039	0.000	22.3	48	10.8	21.8	8.89	 .0738	0.00	12.8	12.2	231	1	100.0	10
01/01/22	10:20	12.8	12.9	12.8	85	10.4	11.0	S	1.83	19.0	S	10.4	12.8	10.3	10.8	1015.8	0.00	0.0	72	1.03	104	0.0	0.00	0.0	0.038	0.000	23.1	47	11.1	22.7	8.75	 .0736	0.00	12.8	12.2	234	1	100.0	10
01/01/22	10:30	13.2	13.2	12.8	84	10.5	12.0	S	2.00	20.0	SSW	10.4	13.1	10.4	11.8	1015.9	0.00	0.0	139	1.99	155	0.0	0.00	0.0	0.036	0.000	23.3	47	11.4	23.1	8.75	 .0736	0.00	13.3	12.8	233	1	100.0	10
01/01/22	10:40	13.3	13.3	13.2	83	10.5	12.0	S	2.00	25.0	SSW	10.6	13.2	10.5	11.3	1016.0	0.00	0.0	87	1.25	121	0.0	0.00	0.0	0.035	0.000	23.3	46	11.1	23.1	8.57	 .0736	0.00	12.8	12.8	232	1	100.0	10
01/01/22	10:50	13.4	13.4	13.2	83	10.6	13.0	S	2.17	24.0	SSW	10.4	13.3	10.3	11.7	1015.9	0.00	0.0	126	1.81	186	0.0	0.00	0.0	0.034	0.000	23.1	46	10.8	22.7	8.58	 .0737	0.00	13.9	13.3	231	1	100.0	10
01/01/22	11:00	13.6	13.6	13.4	83	10.7	12.0	S	2.00	21.0	S	10.9	13.4	10.8	12.4	1015.9	0.00	0.0	143	2.05	195	0.0	0.00	0.0	0.033	0.000	23.0	46	10.8	22.6	8.58	 .0737	0.10	13.9	13.3	232	1	100.0	10
01/01/22	11:10	13.8	13.8	13.6	83	10.9	12.0	S	2.00	23.0	SSW	11.2	13.7	11.1	12.9	1015.9	0.00	0.0	172	2.47	236	0.0	0.00	0.0	0.032	0.000	22.8	47	10.9	22.4	8.75	 .0737	0.00	13.9	13.3	231	1	100.0	10
01/01/22	11:20	13.5	13.8	13.5	85	11.0	12.0	S	2.00	27.0	SSW	10.8	13.4	10.8	11.6	1015.6	0.00	0.0	87	1.25	139	0.0	0.00	0.0	0.034	0.000	22.7	47	10.8	22.2	8.75	 .0738	0.00	11.1	11.7	233	1	100.0	10
01/01/22	11:30	13.0	13.5	13.0	87	10.9	11.0	S	1.83	22.0	S	10.6	13.0	10.6	10.3	1015.5	0.20	0.0	34	0.49	58	0.0	0.00	0.0	0.037	0.000	22.5	47	10.6	21.9	8.75	 .0738	0.00	11.1	11.7	230	1	100.0	10
01/01/22	11:40	12.9	13.0	12.9	88	11.0	11.0	S	1.83	20.0	S	10.5	12.9	10.5	11.0	1015.6	0.00	0.0	70	1.00	76	0.0	0.00	0.0	0.037	0.000	22.4	48	10.8	21.8	8.90	 .0738	0.00	11.7	11.7	232	1	100.0	10
01/01/22	11:50	12.9	12.9	12.9	88	10.9	12.0	S	2.00	20.0	SSW	10.1	12.9	10.1	11.0	1015.6	0.00	0.0	90	1.29	98	0.0	0.00	0.0	0.038	0.000	22.3	48	10.7	21.7	8.89	 .0739	0.00	11.7	11.7	233	1	100.0	10
01/01/22	12:00	13.0	13.0	12.9	88	11.1	12.0	S	2.00	18.0	S	10.3	13.0	10.3	11.7	1015.5	0.00	0.0	122	1.75	155	0.0	0.00	0.0	0.037	0.000	22.2	48	10.7	21.6	8.89	 .0739	0.08	12.2	12.2	232	1	100.0	10
01/01/22	12:10	13.0	13.1	12.9	88	11.1	14.0	S	2.33	24.0	S	9.8	13.0	9.8	10.4	1015.6	0.00	0.0	84	1.20	100	0.0	0.00	0.0	0.037	0.000	22.2	49	10.9	21.6	9.05	 .0739	0.00	12.2	12.2	232	1	100.0	10
01/01/22	12:20	12.9	13.0	12.9	88	11.0	12.0	S	2.00	19.0	SSW	10.2	12.9	10.2	10.6	1015.5	0.00	0.0	65	0.93	70	0.0	0.00	0.0	0.037	0.000	22.1	49	10.9	21.5	9.05	 .0739	0.00	12.2	12.2	233	1	100.0	10
01/01/22	12:30	12.9	13.0	12.8	88	10.9	11.0	S	1.83	20.0	SSW	10.4	12.9	10.4	10.8	1015.2	0.00	0.0	65	0.93	70	0.0	0.00	0.0	0.038	0.000	22.1	49	10.8	21.4	9.05	 .0739	0.00	12.2	12.2	228	1	100.0	10
01/01/22	12:40	12.8	12.9	12.8	89	11.1	12.0	S	2.00	24.0	SSW	10.1	12.9	10.1	10.4	1015.2	0.00	0.0	59	0.85	62	0.0	0.00	0.0	0.038	0.000	22.0	49	10.8	21.3	9.05	 .0739	0.00	12.2	12.2	231	1	100.0	10
01/01/22	12:50	12.9	12.9	12.8	89	11.1	12.0	S	2.00	26.0	SSW	10.1	12.9	10.2	10.3	1015.0	0.00	0.0	52	0.75	62	0.0	0.00	0.0	0.038	0.000	22.0	49	10.8	21.3	9.05	 .0739	0.00	12.2	12.2	228	1	100.0	10
01/01/22	13:00	12.9	12.9	12.9	89	11.2	12.0	S	2.00	22.0	SSW	10.2	13.0	10.3	10.6	1015.2	0.00	0.0	60	0.86	67	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.3	9.25	 .0739	0.05	12.8	12.8	226	1	99.1	10
01/01/22	13:10	12.9	13.0	12.9	89	11.2	12.0	S	2.00	20.0	SSE	10.2	13.0	10.3	10.2	1014.9	0.00	0.0	42	0.60	54	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.3	9.25	 .0739	0.00	12.2	12.2	228	1	100.0	10
01/01/22	13:20	12.9	12.9	12.9	90	11.3	10.0	S	1.67	17.0	S	10.7	12.9	10.8	10.9	1014.8	0.00	0.0	51	0.73	54	0.0	0.00	0.0	0.038	0.000	21.9	50	11.0	21.2	9.25	 .0739	0.00	12.8	12.2	229	1	100.0	10
01/01/22	13:30	12.9	12.9	12.9	90	11.3	11.0	S	1.83	18.0	S	10.5	13.0	10.6	11.3	1014.7	0.00	0.0	80	1.15	86	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.2	9.25	 .0739	0.00	12.8	12.8	228	1	100.0	10
01/01/22	13:40	13.0	13.1	12.9	90	11.4	12.0	S	2.00	21.0	SSW	10.3	13.1	10.3	10.9	1014.6	0.00	0.0	75	1.08	81	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.2	9.25	 .0739	0.00	12.8	12.8	227	1	99.6	10
01/01/22	13:50	13.1	13.1	13.0	90	11.5	12.0	S	2.00	23.0	SSW	10.3	13.1	10.4	10.4	1014.4	0.00	0.0	46	0.66	54	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.2	9.25	 .0738	0.00	12.8	12.8	227	1	99.6	10
01/01/22	14:00	13.1	13.1	13.1	90	11.5	11.0	S	1.83	22.0	SSE	10.7	13.1	10.7	10.9	1014.5	0.00	0.0	56	0.80	69	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.2	9.25	 .0739	0.05	12.8	12.8	226	1	99.1	10
01/01/22	14:10	13.1	13.1	13.1	90	11.5	11.0	S	1.83	18.0	SSW	10.7	13.1	10.7	10.2	1014.6	0.00	0.0	67	0.96	88	0.0	0.00	0.0	0.037	0.000	21.9	50	11.0	21.2	9.25	 .0739	0.00	12.8	12.8	227	1	99.6	10
01/01/22	14:20	13.1	13.1	13.0	90	11.5	13.0	S	2.17	24.0	S	10.2	13.2	10.2	9.9	1014.5	0.00	0.0	94	1.35	139	0.0	0.00	0.0	0.036	0.000	21.9	51	11.3	21.3	9.42	 .0738	0.00	12.8	12.8	228	1	100.0	10
01/01/22	14:30	13.1	13.1	13.1	90	11.5	14.0	S	2.33	26.0	SSW	9.9	13.2	10.0	9.8	1014.5	0.00	0.0	97	1.39	120	0.0	0.00	0.0	0.036	0.000	22.4	50	11.5	21.9	9.25	 .0737	0.00	12.8	12.8	228	1	100.0	10
01/01/22	14:40	13.1	13.2	13.1	90	11.5	13.0	S	2.17	22.0	SSW	10.2	13.2	10.2	9.7	1014.4	0.00	0.0	63	0.90	79	0.0	0.00	0.0	0.036	0.000	22.8	49	11.5	22.4	9.05	 .0736	0.00	12.8	12.8	228	1	100.0	10
01/01/22	14:50	13.1	13.1	13.1	90	11.5	11.0	S	1.83	17.0	SSE	10.7	13.1	10.7	9.9	1014.5	0.00	0.0	50	0.72	54	0.0	0.00	0.0	0.037	0.000	22.6	50	11.6	22.2	9.25	 .0736	0.00	12.8	12.8	229	1	100.0	10
01/01/22	15:00	13.1	13.1	13.0	90	11.5	13.0	S	2.17	23.0	SE	10.1	13.1	10.2	9.3	1014.5	0.00	0.0	38	0.54	46	0.0	0.00	0.0	0.037	0.000	22.3	50	11.4	21.9	9.25	 .0737	0.05	12.8	12.2	227	1	99.6	10
01/01/22	15:10	12.9	13.1	12.9	91	11.5	13.0	S	2.17	24.0	S	9.9	13.0	10.0	9.1	1014.1	0.00	0.0	32	0.46	39	0.0	0.00	0.0	0.037	0.000	22.1	50	11.2	21.6	9.25	 .0738	0.00	12.2	12.2	227	1	99.6	10
